dealname,amount,pipeline,dealstage,contact_email,associated_company_domain
Atendimento - Isabel,395.78,Pipeline de vendas,Apresentação agendada,isabel.melo@hotmail.com,pinto.med.br
Atendimento - Lavínia,733.01,Pipeline de vendas,Compromisso agendado,lavínia.monteiro@hotmail.com,rodrigues.med.br
Atendimento - Luiz Henrique,128.86,Pipeline de vendas,Negócio fechado,luiz.henrique.duarte@uol.com.br,cavalcanti.med.br
Atendimento - Theo,431.99,Pipeline de vendas,Negócio fechado,theo.da.costa@ig.com.br,mendes.med.br
Atendimento - Sophia,703.35,Pipeline de vendas,Negócio fechado,sophia.almeida@ig.com.br,mendes.med.br
Atendimento - Breno,719.58,Pipeline de vendas,Negócio perdido,breno.da.luz@uol.com.br,neves.med.br
Atendimento - Lavínia,189.67,Pipeline de vendas,Negócio perdido,lavínia.monteiro@hotmail.com,paz.med.br
Atendimento - Larissa,685.01,Pipeline de vendas,Qualificado para comprar,larissa.cavalcanti@yahoo.com.br,lima.med.br
Atendimento - Lara,209.85,Pipeline de vendas,Negócio fechado,lara.barbosa@hotmail.com,silveira.med.br
Atendimento - Guilherme,112.72,Pipeline de vendas,Compromisso agendado,guilherme.barros@uol.com.br,cunha.med.br
Atendimento - Felipe,354.16,Pipeline de vendas,Compromisso agendado,felipe.peixoto@bol.com.br,rodrigues.med.br
Atendimento - Bianca,683.7,Pipeline de vendas,Negócio fechado,bianca.sales@uol.com.br,pinto.med.br
Atendimento - Henrique,274.07,Pipeline de vendas,Tomador de decisão envolvido,henrique.da.costa@gmail.com,mendes.med.br
Atendimento - Vinicius,698.41,Pipeline de vendas,Negócio fechado,vinicius.almeida@bol.com.br,paz.med.br
Atendimento - Theo,304.42,Pipeline de vendas,Negócio perdido,theo.novaes@uol.com.br,rodrigues.med.br
Atendimento - Maria,196.47,Pipeline de vendas,Negócio perdido,maria.carvalho@hotmail.com,cavalcanti.med.br
Atendimento - Yago,197.82,Pipeline de vendas,Qualificado para comprar,yago.silva@hotmail.com,cunha.med.br
Atendimento - Mariana,517.13,Pipeline de vendas,Apresentação agendada,mariana.sales@bol.com.br,rodrigues.med.br
Atendimento - Fernanda,306.64,Pipeline de vendas,Negócio perdido,fernanda.alves@gmail.com,mendes.med.br
Atendimento - Pedro,138.96,Pipeline de vendas,Tomador de decisão envolvido,pedro.dias@bol.com.br,rodrigues.med.br
Atendimento - Isis,478.47,Pipeline de vendas,Compromisso agendado,isis.mendes@uol.com.br,pinto.med.br
Atendimento - Evelyn,700.74,Pipeline de vendas,Tomador de decisão envolvido,evelyn.pereira@ig.com.br,silveira.med.br
Atendimento - Marcelo,419.03,Pipeline de vendas,Negócio perdido,marcelo.jesus@uol.com.br,mendes.med.br
Atendimento - Maria,686.56,Pipeline de vendas,Contrato enviado,maria.carvalho@hotmail.com,mendes.med.br
Atendimento - Rebeca,621.39,Pipeline de vendas,Qualificado para comprar,rebeca.almeida@bol.com.br,cunha.med.br
Atendimento - Larissa,699.7,Pipeline de vendas,Tomador de decisão envolvido,larissa.fogaça@bol.com.br,pinto.med.br
Atendimento - Larissa,400.73,Pipeline de vendas,Tomador de decisão envolvido,larissa.fogaça@bol.com.br,neves.med.br
Atendimento - Otávio,197.39,Pipeline de vendas,Contrato enviado,otávio.carvalho@uol.com.br,rodrigues.med.br
Atendimento - Yasmin,483.42,Pipeline de vendas,Negócio perdido,yasmin.duarte@yahoo.com.br,mendes.med.br
Atendimento - Felipe,401.94,Pipeline de vendas,Negócio perdido,felipe.peixoto@bol.com.br,pinto.med.br
Atendimento - Isabel,151.32,Pipeline de vendas,Compromisso agendado,isabel.monteiro@gmail.com,mendes.med.br
Atendimento - Igor,615.4,Pipeline de vendas,Tomador de decisão envolvido,igor.nunes@hotmail.com,mendes.med.br
Atendimento - Rafaela,725.66,Pipeline de vendas,Apresentação agendada,rafaela.da.cunha@hotmail.com,cavalcanti.med.br
Atendimento - Letícia,305.11,Pipeline de vendas,Compromisso agendado,letícia.ribeiro@uol.com.br,rodrigues.med.br
Atendimento - Maria Luiza,133.96,Pipeline de vendas,Tomador de decisão envolvido,maria.luiza.farias@hotmail.com,cunha.med.br
Atendimento - Fernando,714.67,Pipeline de vendas,Contrato enviado,fernando.cunha@yahoo.com.br,silveira.med.br
Atendimento - Emanuella,125.19,Pipeline de vendas,Tomador de decisão envolvido,emanuella.freitas@gmail.com,rodrigues.med.br
Atendimento - Sophie,386.82,Pipeline de vendas,Negócio fechado,sophie.da.rosa@ig.com.br,mendes.med.br
Atendimento - Ana Laura,346.01,Pipeline de vendas,Tomador de decisão envolvido,ana.laura.moraes@gmail.com,rodrigues.med.br
Atendimento - Fernando,125.22,Pipeline de vendas,Apresentação agendada,fernando.cunha@yahoo.com.br,rodrigues.med.br
Atendimento - Maria Alice,304.84,Pipeline de vendas,Compromisso agendado,maria.alice.fogaça@hotmail.com,cavalcanti.med.br
Atendimento - Isabelly,553.66,Pipeline de vendas,Negócio perdido,isabelly.moura@yahoo.com.br,lima.med.br
Atendimento - Isadora,411.23,Pipeline de vendas,Tomador de decisão envolvido,isadora.dias@uol.com.br,rodrigues.med.br
Atendimento - Caroline,400.44,Pipeline de vendas,Negócio perdido,caroline.pereira@hotmail.com,cavalcanti.med.br
Atendimento - João Gabriel,337.55,Pipeline de vendas,Apresentação agendada,joão.gabriel.costa@uol.com.br,silveira.med.br
Atendimento - Alexandre,562.43,Pipeline de vendas,Qualificado para comprar,alexandre.da.paz@bol.com.br,pinto.med.br
Atendimento - Pedro Miguel,331.16,Pipeline de vendas,Compromisso agendado,pedro.miguel.cardoso@gmail.com,mendes.med.br
Atendimento - Isabel,646.95,Pipeline de vendas,Tomador de decisão envolvido,isabel.gomes@hotmail.com,cavalcanti.med.br
Atendimento - Olivia,491.11,Pipeline de vendas,Qualificado para comprar,olivia.freitas@gmail.com,pinto.med.br
Atendimento - Sabrina,219.43,Pipeline de vendas,Tomador de decisão envolvido,sabrina.porto@bol.com.br,pinto.med.br
Atendimento - Gabrielly,266.72,Pipeline de vendas,Qualificado para comprar,gabrielly.barros@ig.com.br,cavalcanti.med.br
Atendimento - Felipe,163.05,Pipeline de vendas,Compromisso agendado,felipe.peixoto@bol.com.br,paz.med.br
Atendimento - Pedro Miguel,750.46,Pipeline de vendas,Negócio fechado,pedro.miguel.das.neves@ig.com.br,fogaça.med.br
Atendimento - Vinicius,279.04,Pipeline de vendas,Contrato enviado,vinicius.almeida@bol.com.br,neves.med.br
Atendimento - Rafaela,153.63,Pipeline de vendas,Apresentação agendada,rafaela.da.cunha@hotmail.com,silveira.med.br
Atendimento - Evelyn,470.03,Pipeline de vendas,Contrato enviado,evelyn.pereira@ig.com.br,cavalcanti.med.br
Atendimento - Joana,673.57,Pipeline de vendas,Contrato enviado,joana.araújo@ig.com.br,mendes.med.br
Atendimento - Maria Julia,577.4,Pipeline de vendas,Apresentação agendada,maria.julia.da.rocha@yahoo.com.br,fogaça.med.br
Atendimento - Mariana,332.91,Pipeline de vendas,Qualificado para comprar,mariana.cunha@hotmail.com,cavalcanti.med.br
Atendimento - Helena,515.12,Pipeline de vendas,Negócio perdido,helena.caldeira@yahoo.com.br,neves.med.br
Atendimento - Igor,355.69,Pipeline de vendas,Negócio perdido,igor.silveira@uol.com.br,cavalcanti.med.br
Atendimento - João,619.22,Pipeline de vendas,Apresentação agendada,joão.rocha@gmail.com,rodrigues.med.br
Atendimento - Yago,706.77,Pipeline de vendas,Compromisso agendado,yago.silva@hotmail.com,cunha.med.br
Atendimento - Emilly,270.73,Pipeline de vendas,Qualificado para comprar,emilly.nunes@yahoo.com.br,silveira.med.br
Atendimento - Cauê,164.83,Pipeline de vendas,Apresentação agendada,cauê.azevedo@uol.com.br,rodrigues.med.br
Atendimento - Giovanna,135.58,Pipeline de vendas,Apresentação agendada,giovanna.pires@hotmail.com,mendes.med.br
Atendimento - Isaac,494.79,Pipeline de vendas,Negócio perdido,isaac.monteiro@yahoo.com.br,fogaça.med.br
Atendimento - Lorena,169.02,Pipeline de vendas,Compromisso agendado,lorena.cunha@gmail.com,silveira.med.br
Atendimento - Lívia,203.79,Pipeline de vendas,Apresentação agendada,lívia.da.luz@gmail.com,neves.med.br
Atendimento - Igor,431.32,Pipeline de vendas,Qualificado para comprar,igor.nunes@hotmail.com,paz.med.br
Atendimento - Pedro Henrique,642.22,Pipeline de vendas,Negócio fechado,pedro.henrique.martins@bol.com.br,paz.med.br
Atendimento - Alícia,280.46,Pipeline de vendas,Negócio perdido,alícia.pereira@gmail.com,cavalcanti.med.br
Atendimento - Olivia,397.83,Pipeline de vendas,Qualificado para comprar,olivia.costa@uol.com.br,cavalcanti.med.br
Atendimento - Agatha,195.18,Pipeline de vendas,Qualificado para comprar,agatha.carvalho@uol.com.br,lima.med.br
Atendimento - Ana Luiza,126.09,Pipeline de vendas,Negócio perdido,ana.luiza.da.cunha@uol.com.br,fogaça.med.br
Atendimento - Isadora,569.34,Pipeline de vendas,Compromisso agendado,isadora.oliveira@hotmail.com,neves.med.br
Atendimento - João Pedro,342.63,Pipeline de vendas,Contrato enviado,joão.pedro.araújo@gmail.com,cavalcanti.med.br
Atendimento - Letícia,273.54,Pipeline de vendas,Qualificado para comprar,letícia.costela@gmail.com,lima.med.br
Atendimento - Gabrielly,530.47,Pipeline de vendas,Negócio perdido,gabrielly.rocha@bol.com.br,fogaça.med.br
Atendimento - Giovanna,647.79,Pipeline de vendas,Negócio perdido,giovanna.barros@bol.com.br,mendes.med.br
Atendimento - Alícia,464.79,Pipeline de vendas,Apresentação agendada,alícia.silva@uol.com.br,neves.med.br
